lookup,year,brood,age,terminal_catch
19822,1984,1982,2,830.6127152
19832,1985,1983,2,1073.117393
19842,1986,1984,2,596.4509184
19852,1987,1985,2,60.79146576
19862,1988,1986,2,118.2644483
19872,1989,1987,2,110.7262259
19882,1990,1988,2,185.1978255
19892,1991,1989,2,126.6732213
19902,1992,1990,2,128.8762968
19912,1993,1991,2,169.8079734
19922,1994,1992,2,135.4825647
19932,1995,1993,2,14.22474682
19942,1996,1994,2,31.78735289
19952,1997,1995,2,138.7748777
19962,1998,1996,2,39.39946237
19972,1999,1997,2,0
19982,2000,1998,2,0
19992,2001,1999,2,0
20002,2002,2000,2,1.880064443
20012,2003,2001,2,2.080156494
20022,2004,2002,2,0
20032,2005,2003,2,10.6511367
20042,2006,2004,2,5.474548254
20052,2007,2005,2,742.1250618
20062,2008,2006,2,8.404532337
20072,2009,2007,2,586.1918345
20082,2010,2008,2,16.63805806
20092,2011,2009,2,143.0541771
20102,2012,2010,2,48.78585504
20112,2013,2011,2,140.9143285
20122,2014,2012,2,31.66235665
20132,2015,2013,2,45.40119868
20142,2016,2014,2,40.95668748
20152,2017,2015,2,27.53984158
19813,1984,1981,3,4687.881771
19823,1985,1982,3,1589.387294
19833,1986,1983,3,1251.78821
19843,1987,1984,3,537.713404
19853,1988,1985,3,171.3895856
19863,1989,1986,3,426.3384367
19873,1990,1987,3,132.6104035
19883,1991,1988,3,577.5463641
19893,1992,1989,3,246.7400433
19903,1993,1990,3,509.7208266
19913,1994,1991,3,221.552652
19923,1995,1992,3,96.73810702
19933,1996,1993,3,113.7851996
19943,1997,1994,3,439.0812428
19953,1998,1995,3,59.42321365
19963,1999,1996,3,346.8032846
19973,2000,1997,3,55.82954862
19983,2001,1998,3,303.7809929
19993,2002,1999,3,159.3679928
20003,2003,2000,3,161.3567511
20013,2004,2001,3,241.7975639
20023,2005,2002,3,443.4342587
20033,2006,2003,3,107.9100956
20043,2007,2004,3,191.0131734
20053,2008,2005,3,297.0446769
20063,2009,2006,3,39.45640058
20073,2010,2007,3,499.8110741
20083,2011,2008,3,347.5097851
20093,2012,2009,3,118.5306348
20103,2013,2010,3,118.560614
20113,2014,2011,3,408.987537
20123,2015,2012,3,207.2060643
20133,2016,2013,3,99.49272334
20143,2017,2014,3,66.90027949
19804,1984,1980,4,4133.281723
19814,1985,1981,4,1301.157216
19824,1986,1982,4,11254.03966
19834,1987,1983,4,990.8881319
19844,1988,1984,4,1911.089299
19854,1989,1985,4,242.5120007
19864,1990,1986,4,1596.62965
19874,1991,1987,4,694.8044175
19884,1992,1988,4,762.0732389
19894,1993,1989,4,677.1521875
19904,1994,1990,4,1170.358325
19914,1995,1991,4,106.7519413
19924,1996,1992,4,137.2519839
19934,1997,1993,4,599.1959517
19944,1998,1994,4,192.0842596
19954,1999,1995,4,157.8145072
19964,2000,1996,4,324.5390473
19974,2001,1997,4,685.4789536
19984,2002,1998,4,392.638935
19994,2003,1999,4,1187.818666
20004,2004,2000,4,799.4334129
20014,2005,2001,4,1566.535138
20024,2006,2002,4,317.6826279
20034,2007,2003,4,1580.190301
20044,2008,2004,4,188.405612
20054,2009,2005,4,642.7997005
20064,2010,2006,4,151.2969796
20074,2011,2007,4,1796.396261
20084,2012,2008,4,179.3360528
20094,2013,2009,4,187.2194079
20104,2014,2010,4,703.2643507
20114,2015,2011,4,1474.205724
20124,2016,2012,4,514.3117226
20134,2017,2013,4,345.8302962
19795,1984,1979,5,582.22379
19805,1985,1980,5,251.3380976
19815,1986,1981,5,3328.721213
19825,1987,1982,5,436.6069984
19835,1988,1983,5,276.2566671
19845,1989,1984,5,267.4233367
19855,1990,1985,5,178.5621209
19865,1991,1986,5,482.9759972
19875,1992,1987,5,408.310421
19885,1993,1988,5,269.3190125
19895,1994,1989,5,223.6064578
19905,1995,1990,5,76.28520487
19915,1996,1991,5,51.17546363
19925,1997,1992,5,97.94792779
19935,1998,1993,5,70.09306439
19945,1999,1994,5,110.3822083
19955,2000,1995,5,23.63140413
19965,2001,1996,5,179.7400535
19975,2002,1997,5,33.11300775
19985,2003,1998,5,166.744426
19995,2004,1999,5,308.7690232
20005,2005,2000,5,465.3794665
20015,2006,2001,5,47.93272825
20025,2007,2002,5,159.6714634
20035,2008,2003,5,44.14517876
20045,2009,2004,5,51.55206443
20055,2010,2005,5,46.25388827
20065,2011,2006,5,144.0397769
20075,2012,2007,5,48.34745732
20085,2013,2008,5,13.30564953
20095,2014,2009,5,87.08575567
20105,2015,2010,5,87.18701276
20115,2016,2011,5,41.2388666
20125,2017,2012,5,27.72958272
